categoria,nombre,aforo,productos
comida,McGoofys,5,papas fritas:3000-bebida:1000
tienda,Sarita,5,polera:5000-chaqueta:40000-calcetines:2000-pantalones:30000
entretenimiento,PlanetaCine,6,pelicula normal:3500-3D:5000-4DX:7000-Premium:7500
entretenimiento,HappyLandia,6,bowling:15000-100 fichas:2000-200 fichas:3500
supermercado,Dumbo,10,tallarines:600-toalla nova:990-agua:2190-CocaCola:1290
supermercado,SantaIsabella,7,tallarines:400-toalla nova:890-agua:1790-CocaCola:990
casino,Montichala,9,ruleta:8000-blackjack:7000-poker:15000-tragamonedas:1000
tienda,Bloquelandia,3,bloques planet wars: 14990-bloques ninja come: 19990-bloques betman: 9990
tienda,America,5,polera:14990-chaleco:24990-poleron:29990-cinturon:9990
tienda,Falafea,10,televisor:269990-polera:6490-estufa:79990-alfombra:54990-trotadora:869990-bicicleta:429990-refrigerador:579990
supermercado,Unimarcos,5,carne:9990-confort:4990-queso:1990-tomates:2990
tienda,Bob Browni,3,base:14990-paleta:29990-delineador:19990-brocha:9990
tienda,HyN,5,polera:4990-chaqueta:29990-gorro:11990-lentes:9990
supermercado,Loser,7,pollo:3990-televisor:249990-helado:1500-tallarines:1200
tienda,Macroplay,3,FIFA 2021:44990-control PS4:25000-Black Ops 4: 59990-Minecraft:19990
entretenimiento,Aventura World,4,Tagada:2000-Montana Rusa:10000-Autitos Chocadores:5000-Bowling:15000
comida,Burger Queen,5,wuper:4990-Rodeo Queen:3990-Steak Club:5990-papas fritas: 1490
casino,Enyuju,7,ruleta:10000-blackjack:5000-poker:20000-tragamonedas:2000
tienda,Mossa,3,anillo:129990-collar:149990-pulsera:59990-aros:49990
tienda,Homeclub,9,martillo:5990-guantes:2990-serrucho:7990-clavos:990
tienda,Audiomarket,6,guitarra electica:599900-amplificador:249900-bajo:349900
tienda,Cloro,2,Huawei P40 Lite:209990-iPhone 11:599990-Xiaomi Redmi 9:119990
comida,Progratouille,10,Hamburguesa DCC:8990-Hot Dog Italiano:3000-Pizza de peperoni:7500-Ceviche:7800
tienda,Libreria Artico,10,Stewart:70000-Algebra Lineal y sus aplicaciones:50000-Harry Potter:92900
